Alloys,Hardness (HV)
Al0.25CoCrFeNi,110
Al0.1CoCrFeNi,117
CoFeNi,124
Al0.4CoCrFeNi,128
CoCrFeNi,129.8
Al0.375CoCrFeNi,130.8
CoCrCuFeNi,133
CoCrCuFe,134
Al0.25CoFeNi,136
Al0.3CoCrFeNi,137.5
CoCrFeMnNi,144
CoFeNiSi0.25,148
CoCrFeMnNiV0.25,151
Al0.2CrCuFeNi2,161
Al0.3CoCrFeMo0.1Ni,162
AlCo3.0CuFeNi,166.4
Al0.3CrCuFeNi2,168
Al0.04(CoCrFeMnNi),171
CoCrCu0.5FeNi,173.5
Al0.3CoCrCuFeNi,179
Al0.02(CoCrFeMnNi),180
Al0.3CoCrCuFe,180
CoCrFeNiTa0.1,180
Al0.07(CoCrFeMnNi),182
Al0.08(CoCrFeMnNi),183
CoCrFeMnNiV0.5,186
CoCuFeMnNiSn0.03,192
Al0.3CoCrFeNiTi0.1,199
Al0.4CrCuFeNi2,199
Al0.5CoCrFeNi,200.7
Al0.5CoCrCuFeNiV0.2,204
CoCuFeMnNiSn0.05,205
Al0.5CoCrCuFe,207
Al0.5CoCrCuNi,208
Al0.5CoFeNi,208
CoCuFeMnNi,208
Al0.5CoCrCuFeNi,214.5
CoCuFeMnNiSn0.08,219
Al0.09(CoCrFeMnNi),220
CoCrFeMo0.3Ni,220
Al0.5CoCrCuFeNiV0.4,231
CoFeNiV,238.1
Al0.5CrCuFeNi2,239
Al0.6CoCrFeNi,240
AlCo2.0CuFeNi,249.3
CoCuFeMnNiSn0.10,253
CrCuFeMoNi,263
CoFeMo0.2NiV,267.3
Al0.8CoCrCuFe,271
Al0.5CoCrCuFeNiTi0.2,272
Al0.8CoCrCuFeNi,273.3
AlAuCoCrCuNi,276
CoCrFeNiTa0.2,277
Al0.10(CoCrFeMnNi),278
Al0.6CrCuFeNi2,279
Al8Co17Cr17Cu8Fe17Ni33,280
CoFeNiSi0.50,286
CrCuFeMnNi,286.5
Al0.7CrCuFeNi2,291
Al0.3CrFe1.5MnNi0.5,297
NbTaTiV,298
Hf0.5Nb0.5Ta0.5Ti1.5Zr,301
Al0.2CrFe1.5Ni0.5,303.8
HfNbTaTiZr,306.7
CoCrFeNb0.25Ni,309
Al0.8CrCuFeNi2,316
CoCuFeMnNiSn0.20,319
Al0.5CoCrCuFeNiTi0.4,321
Al0.3CrCuFeMnNi,327
Al0.5CoCrCuFeNiV0.6,328
Al0.7CoCrFeNi,337
Al0.9CrCuFeNi2,338
CoCrFeMnNiV0.75,342
AlCr0.5CuFeNiTi,343.7
AlCoCuNi,348
AlCrCuFeNiTi,348.8
Al0.3HfNbTaTiZr,353
Hf0.75NbTa0.5Ti1.5Zr1.25,356.9
AlCr1.5CuFeNiTi,359.3
HfNbTaZr,364.5
CoCrFeNiTa0.3,365
AlCo1.5CuFeNi,366.4
AlCoCr0.5CuFeNi,367
AlCrCuFeNi1.4,367
AlCr2CuFeNiTi,368.3
AlCr3CuFeNiTi,369.3
Al0.3CrFe1.5Ni0.5,371.3
AlCuNi,379
Al0.75CoFeNi,382
CoFeMoNi2.0V,382.3
HfNbTiVZr,387.5
Al0.75CoCrFeNi,388
Al0.8CoCrFeNi,388
Al0.5CrCuFeMnNi,390
Al0.8CrCu1.5FeMnNi,393
AlCrCuFeNi2,393
HfMo0.25NbTaTiZr,395
Al0.5CrFe1.5MnNi0.5,396
Al0.5HfNbTaTiZr,396
Hf0.5Mo0.5NbTiZr,400
CoFeMo0.4NiV,402.5
HfMo0.5NbTiV0.5,403
AlCoCrFeMo0.5Ni2.0,404
Al0.11(CoCrFeMnNi),405
AlCoCrCuFe,407
AlCrCuFeNi1.2,407
AlCoCrCuFeNI,412.4
Al0.5B0.2CoCrCuFeNi,415
AlCoCrCuFe0.5Ni,418
AlCoCrCuNi,418
CoCrFeMo0.85Ni,420
AlCoCrCuFeNi0.5,423
Al0.5CoCrFeMo0.5Ni,425
Al0.75HfNbTaTiZr,427
MoTaTiV,433.2
Al0.8CrCuFeMnNi,436
MoNbTiV,440.7
Al0.8CrCuFeMn1.5Ni,441
AlHfNbTaTiZr,441
Hf0.5Mo0.5NbSi0.1TiZr,442
MoNbTaTiV,443
Al0.15CrFe1.5Ni0.5,443.2
Al0.5CoCrCuFeNiV0.8,447
NbTaTiVW,447
Al0.2MoTaTiV,450
AlCoFeNi,450
Al0.4CrFe1.5Ni0.5,450.1
AgAlCoCrCuNi,451
Al0.5CoCrCuFeNiTi0.6,458
AlCoCrCu0.5FeNi,458
Al0.25MoNbTiV,460.1
Al0.8CrCuFe1.5MnNi,462
CrHfNbTiZr,464
HfNbSi0.5TiVZr,464
Al1.3CoCrCuFeNi,470
AlCoCuFeNiZr,472
AlCrFeNi,472.4
AlCo0.5CrCuFeNi,473
Al1.3CoCrCuFe,476
Al1.2CoCrFeNi,478
AlTiV,478
HfMo0.50NbTaTiZr,480
Al1.5CoCrFeNi,482
Al0.6MoTaTiV,483.3
Al1.8CoCrFeNi,484
Al0.12(CoCrFeMnNi),486
AlCrCuFeNi0.8,486
Al0.50MoNbTiV,486.5
Al1.25CoCrFeNi,487
AlMoTiV,489
HfNbSi0.5TiV,490
CoCrFeNiTa0.4,492
HfMo0.75NbTaTiZr,492
NbTaVW,493
Hf0.5Mo0.5NbSi0.3TiZr,494
AlCrCuFeMnNi,495
CuHfNiTiZr,495
AlCoCrCu0.5Ni,496
AlCrCuFeNi0.6,496
CoCrFeNiTa0.5,498
MoNbTaTiW,498.7
MoNbTaTiZr,499.6
HfMo0.5NbSi0.3TiV0.5,500
AlCoCrFeNi,501.75
MoNbTaV,504
Al0.5B0.6CoCrCuFeNi,505
HfMoNbTaTiZr,505
Al2.0CoCrFeNi,506.5
Al1.5CoCrCuFeNi,507
AlMoTaTiV,509.5
Al1.5CoCrCuFe,510
CoFeMoNi1.8V,510.3
MoNbTaTiVW,510.3
Al1.125CuFe0.75NiTi1.125,516
AlCuFeNiTi,516
Al0.75MoNbTiV,516.6
CoCrFeNb0.5Ni,518
Al1.2CrCuFeNi2,520
CoFeMoNi1.6V,520.4
CoCrFeNb0.45Ni,521
AlMoTi,524
Hf0.5Mo0.5NbSi0.5TiZr,524
Al0.9CoCrFeNi,527
Al0.13(CoCrFeMnNi),530
AlCo0.2CuFeNi,531.4
Al0.15(CoCrFeMnNi),533
Al0.16(CoCrFeMnNi),535
AlCoCuFeNi,536.2
AlMoNbTiV,536.6
AlCuNiTi,537
CoFeMoNi1.4V,537.5
Al0.875CoCrFeNi,538
Al0.14(CoCrFeMnNi),539
Al0.20(CoCrFeMnNi),539
CrMo0.5NbTa0.5TiZr,540
HfMoTaTiZr,542
AlCo0.5CuFeNi,544.9
AlCrFeMo0.2Ni,548.5
Al1.5CrCuFeNi2,549
Al1.8CrCuFeNi2,549
CoCrFeNiTa0.75,550
Al1.6CrCuFeNi2,553
AlCrTiV,555
AlCrMoTiV,556
Al1.50MoNbTiV,556.4
CoFeMo0.6NiV,556.7
Al1.8CoCrCuFe,557
Al1.8CoCrCuFeNi,557
HfNbTaTiVZr,558
AlCoCrCuFeNiTiV,560
Al2.0CoCrCuFeNi,562
AlCoCrCuFeNiSi,566
CrCuFeNiZr,566
Al2.0CoCrCuFe,567
Al2.0CrCuFeNi2,567
CoFeNiSi0.75,568
AlCoCrFeNb0.1Ni,569
Al0.5CoCrCuFeNiV1.4,577
AlCoCuFeNdNi,577.6
Al2.2CrCuFeNi2,578
Al0.5CoCrCuFeNiV1.2,579
Al23Co15Cr23Cu8Fe15Ni16,580
Hf0.5Mo0.5NbSi0.7TiZr,580
HfMo0.5NbSi0.5TiV0.5,582
Al0.5CoCrCuFeNiV2.0,587
Al0.5CoCrCuFeNiTi0.8,590
Al0.5CoCrCuFeNiV1.6,594
Al2.5CrCuFeNi2,596
AlCo2CrFeMo0.5Ni,596
Al0.5CoCrCuFeNiV1.8,597
AlCoFeMo0.5Ni,600
CoCrFeNb0.75Ni,600
AlCoCr0.5FeMo0.5Ni,602
CoCrFeNbNi,602
CoFeMoNi1.2V,602
Al2.3CoCrCuFe,603
Al2.3CoCrCuFeNi,603
Al2.0CoCrFeMo0.5Ni,605
CoFeMo0.8NiV,605.6
AlCrMoTi,606
HfMo0.5NbSi0.7TiV0.5,612
CoCrFeNiTi0.5,616.8
AlCrFeMo0.5Ni,621.5
Al2.5CoCrCuFe,624
Al2.5CoCrCuFeNi,624
CoFeMoNiV,624.6
AlCoCuFeNiTi,625.3
AlCoCrFeMo0.5Ni1.5,627
AlCoCrFe1.5Mo0.5Ni,635
Al0.5CoCrCuFeNiTi1.0,636
Al0.5CoCrCuFeNiV1.0,639
AlCoCrFe2Mo0.5Ni,639
Hf0.5Mo0.5NbSi0.9TiZr,640
Al3.0CoCrCuFe,644
Al3.0CoCrCuFeNi,644
Al0.5CoCrCuFeNiTi1.2,646
CoCrFeMnNiV,650
Al1.5CoCrFeMo0.5Ni,655
Al2.8CoCrCuFeNi,655
Al0.5CoCrCuFeNiTi1.6,657
Al2.8CoCrCuFe,657
Al0.5CoCrCuFeNiTi1.4,664
Al0.5CoCrCuFeNiTi1.8,667
AlCoCrFeNb0.25Ni,668
Cr0.5MoNbTaVW,675.5
AlCoCuFeNiSi,680.4
Al0.5CoCrCuFeNiTi2.0,696
AlCrTi,704
CrMoNbTaVW,704.6
AlCo1.5CrFeMo0.5Ni,711
Al0.5BCoCrCuFeNi,736
AlCoCrFeNb0.5Ni,747
AlCoCrFe0.6Mo0.5Ni,754
Cr2MoNbTaVW,754.9
AlCoCrFeMo0.5Ni,763.4
AlCoCrFeMo0.5Ni0.5,775
AlCo0.5CrFeMo0.5Ni,788
AlCoCr1.5FeMo0.5Ni,800
CoCrFeNb1.2Ni,817
CoCrMoNbTi0.4,829.6
CoCrMoNbTi0.5,844.9
CoCrMoNbTi,849.6
AlCoCr2FeMo0.5Ni,850
AlCrFeMo0.8Ni,853.8
AlCoCrCu0.5FeNiSi,860
AlCoCrCuFeMoNiTiVZr,890
AlCoCrFeMo0.5,904
AlCrFeMoNi,911.5
CoCrMoNbTi0.2,916.2
CoCrMoNb,959.6
